id,claim,type,verifier,status
CN9,"Why dollar comparisons mislead: lower Chinese labour/materials/fabrication/construction costs mean each R&D dollar buys more — ITIF estimates ~2.3 researchers per $100k R&D in China (>2x the US), and on a PPP basis China has drawn level with or passed US total R&D (OECD: 2024 ~$1.03T vs $1.01T). USD-to-USD understates effective Chinese output, so the dossier argues from tempo/structure/PPP rather than headline dollars.",CITE,"citation_audit.md — reported, audit pending (ITIF/OECD via Science)",OPEN
AI1,"Macro base rate (EV/battery S-curve): from a near-zero base 15-20 years ago, Chinese firms now install ~70-75% of the world's EV batteries (CATL ~38% global, BYD ~17%); LFP >80% of domestic installs; sodium-ion commercializing while solid-state targets ~2027. A manufacturing/scale-up trajectory, cited as the 'don't bet against the Chinese S-curve' base rate.",CITE,"citation_audit.md — reported, audit pending (IEA/CnEVPost/Carbon Credits)",OPEN
AI2,"China scientific-publication record: #1 in total publications (2024, first since US passed UK 1948); #1 in top-1% most-cited papers since ~2019 (27.2% vs US 24.9%, 2018-20); #1 in Nature Index natural sciences (2023) with physics/chemistry strength and CAS/USTC/Tsinghua among top institutions. Caveats: high self-citation, paper-mill/fraud concerns, quantity-vs-quality debate; some quality-weighted measures still favor the US.",CITE,"citation_audit.md — reported, audit pending (Science/AAAS/Nature/NISTEP/WIPO GII/CEPR)",OPEN
AI3,"AI JUDGMENT (Opus 4.8, independent experiment; analysis/opinion, NOT a verified claim and NOT an authority): §04's thesis is fairly stated to modestly understated — correctly bounded as a question not a verdict and conceding the current US computing lead, but under-deploying its strongest evidence (China's leading high-impact physics output + the EV S-curve base rate); a clean 'China wins fault-tolerant QC' prediction is NOT supported given Western near-term fault-tolerance leads and remaining basic-science gates. Offered as one data point to weigh.",EST,"AI analysis/opinion — not mechanically verifiable; would shift toward understated if remaining QC gates prove mostly engineering, or toward overstated if the West sustains a funded fault-tolerance lead",OPEN-UNVERIFIED
US1,"CHIPS & Science Act science-side underfunding: NSF received $9.06B in FY24 vs $15.64B authorized (~42% short); combined NSF/NIST/DOE-Science gap >$8B (FY24-25); the NSF technology directorate (TIP) got ~$410M of ~$20B authorized. The US legislated a science surge then did not appropriate it.",CITE,"citation_audit.md — reported, audit pending (FAS/CSIS/AEI/ITIF)",OPEN
US2,"US semiconductor reshoring — mixed record: >$630B committed across ~140 projects, ~500k jobs since 2020 (SIA); but US fab costs 30-50% above Asia, high-skilled labour short, TSMC Arizona slipped 2026 to 2028; friend-shoring (US-India fabs) adds allied capacity. Reshoring works partially and at a premium.",CITE,"citation_audit.md — reported, audit pending (SIA/Manufacturing Dive/Stimson/SAIS/CFR)",OPEN
US3,"US high-skilled STEM immigration: estimated ~1.4M shortage of technicians/scientists/engineers by 2030 while China roughly doubles STEM PhDs; reform proposals (Schedule A for AI, advanced-STEM green-card and stay-rate pathways) vs counter-currents (e.g. 2025 $100k H-1B fee argued to be self-defeating).",CITE,"citation_audit.md — reported, audit pending (CNAS/Brookings/IFP/Fwd.us/Lawfare)",OPEN
US4,"RECOMMENDATION (policy argument, not verified): Pillar 1 — regain scientific-research leadership by fully and STABLY (multi-year) funding the basic-science surge already authorized under CHIPS, reauthorizing and funding the NQI, and protecting the NSF basic-science core. Trade-offs: budget cost, appropriations politics, risk of securitizing/distorting basic science.",EST,"policy opinion — open argument; signpost: progress if CHIPS science appropriations close toward authorization and NQI is sustained multi-year",OPEN-UNVERIFIED
US5,"RECOMMENDATION (policy argument): Pillar 2 — build a competitive industrialization S-curve by pairing supply-side investment with durable demand-side pull (procurement/deployment), prioritizing scale-compounding sectors (batteries, advanced packaging, quantum-enabling fab), and treating workforce as the binding constraint — not brute-force reshoring alone, given the 30-50% US cost premium. Trade-offs: cost, time, risk of subsidizing uncompetitive industries.",EST,"policy opinion — open argument; signpost: a domestic industry sustainably riding its own learning/cost-down curve",OPEN-UNVERIFIED
US6,"RECOMMENDATION (policy argument): on China's industrial capacity, run a managed PORTFOLIO matched to sector security-criticality — friend-shoring/allied supply chains, buy-and-improve/leveraging interdependence, reshoring incentives, tariffs/industrial policy, talent & immigration, public-private fabs, standards/IP leadership, narrow export controls/selective decoupling — each an option with explicit costs; cheapest highest-leverage moves (talent, stable science funding, allies) first; coercive tools narrow and costly. Options analysis, NOT operational economic-warfare tactics.",EST,"policy opinion — open argument; signpost: a coherent portfolio rather than a single ideological lever",OPEN-UNVERIFIED
US7,"RECOMMENDATION (policy argument): Pillar 3 — QC leadership is necessary but not sufficient and may be the wrong standalone target; convert the current US near-term fault-tolerance lead (per the avenues section) into durable advantage by strengthening the macro science+industry base beneath it, rather than treating QC as an isolated moonshot or over-indexing on one modality.",EST,"policy opinion — open argument; signpost: US QC lead sustained AND macro science/industry base strengthening together",OPEN-UNVERIFIED
US8,"COUNTER-VIEW (labeled counter-argument): dominance may be the wrong goal — much frontier science is inherently international, a dominance frame that securitizes science can deter the collaboration and talent inflows that produce breakthroughs, and resilience + frontier presence + openness/standards leadership may be wiser and cheaper than striving to be #1 everywhere. Presented to keep the section strategy, not manifesto.",EST,"policy opinion / counter-argument — open; signpost: weigh resilience-and-frontier-presence outcomes against dominance-pursuit costs",OPEN-UNVERIFIED
